title,sub_category,author,image_path
10초는 영원히,한국 단편소설,황모과,https://image.yes24.com/goods/119578165/XL
13일의 김남우,한국 단편소설,김동식,https://image.yes24.com/goods/57799411/XL
1그램의 무게,한국 장편소설,임제훈,https://image.yes24.com/goods/119608476/XL
1차원이 되고 싶어,한국 장편소설,박상영,https://image.yes24.com/goods/103916738/XL
2018 제9회 젊은작가상 수상작품집,한국 단편소설,박민정,https://image.yes24.com/goods/59507350/XL
2019 김승옥문학상 수상작품집,한국 단편소설,윤성희,https://image.yes24.com/goods/79375642/XL
2020 제11회 젊은작가상 수상작품집,한국 단편소설,강화길,https://image.yes24.com/goods/91555358/XL
2022 제13회 젊은작가상 수상작품집,한국 단편소설,임솔아,https://image.yes24.com/goods/108672470/XL
2023 김승옥문학상 수상작품집,한국 단편소설,권여선,https://image.yes24.com/goods/122754335/XL
2023 신춘문예당선 소설집,한국 단편소설,한국소설가협회,https://image.yes24.com/goods/117027221/XL
2023 올해의 문제소설,한국 단편소설,한국현대소설학회,https://image.yes24.com/goods/117604962/XL
2023 제14회 젊은작가상 수상작품집,한국 단편소설,이미상,https://image.yes24.com/goods/118285980/XL
2024 신춘문예 당선 소설집,한국 단편소설,임희강,https://image.yes24.com/goods/124719642/XL
28,한국 장편소설,정유정,https://image.yes24.com/momo/TopCate261/MidCate007/25779704.jpg
5분 소설,한국 단편소설,김재성,https://image.yes24.com/goods/91220709/XL
7년의 밤,한국 장편소설,정유정,https://image.yes24.com/goods/4701388/XL
82년생 김지영,한국 장편소설,조남주,https://image.yes24.com/goods/32972572/XL
86학번 승연이,한국 장편소설,박선경,https://image.yes24.com/goods/123367736/XL
BU 케어 보험,한국 장편소설,이희영,https://image.yes24.com/goods/123774085/XL
GV 빌런 고태경,한국 장편소설,정대건,https://image.yes24.com/goods/90004865/XL
[예스리커버] 가녀장의 시대,한국 장편소설,이슬아,https://image.yes24.com/goods/114273352/XL
[최근담] 가꾸는 이의 즐거움,한국 장편소설,추미애,https://image.yes24.com/goods/123743582/XL
[최근담] 그래머블 제로 Grammable zero,한국 단편소설,박완서,https://image.yes24.com/goods/6259957/XL
百의 그림자,한국 장편소설,황정은,https://image.yes24.com/goods/106544854/XL
가만한 나날,한국 단편소설,김세희,https://image.yes24.com/goods/69726334/XL
가만히 부르는 이름,한국 장편소설,임경선,https://image.yes24.com/goods/93309227/XL
가면의 꿈,한국 단편소설,이청준,https://image.yes24.com/momo/TopCate162/MidCate03/16122500.jpg
가시고기 우리 아빠,한국 장편소설,조창인,https://image.yes24.com/goods/107512748/XL
가시고기,한국 장편소설,조창인,https://image.yes24.com/goods/72335902/XL
가장 나쁜 일,한국 장편소설,김보현,https://image.yes24.com/goods/110792471/XL
가해자들,한국 장편소설,정소현,https://image.yes24.com/goods/93991070/XL
각각의 계절,한국 단편소설,권여선,https://image.yes24.com/goods/118677758/XL
강화도,한국 장편소설,송호근,https://image.yes24.com/goods/38311671/XL
개,한국 장편소설,김훈,https://image.yes24.com/goods/99398390/XL
개들이 식사할 시간,한국 단편소설,강지영,https://image.yes24.com/goods/43606158/XL
거인의 꿈,한국 장편소설,최영태,https://image.yes24.com/goods/124328323/XL
검은 꽃,한국 장편소설,김영하,https://image.yes24.com/goods/96033354/XL
검은 사슴,한국 장편소설,한강,https://image.yes24.com/goods/57665662/XL
검찰 바이러스 감염증,한국 장편소설,최영주,https://image.yes24.com/goods/124219580/XL
겨울 간식집,한국 단편소설,박연준,https://image.yes24.com/goods/123800581/XL
겨울나그네 1,한국 장편소설,최인호,https://image.yes24.com/goods/124124611/XL
겨울나그네 2,한국 장편소설,최인호,https://image.yes24.com/goods/124124622/XL
겨울방학,한국 단편소설,최진영,https://image.yes24.com/goods/80993781/XL
겨울을 지나가다,한국 장편소설,조해진,https://image.yes24.com/goods/123423121/XL
격리된 아이,한국 장편소설,박서련,https://image.yes24.com/goods/108801812/XL
경성 탐정 이상,한국 장편소설,김재희,https://image.yes24.com/momo/TopCate192/MidCate007/19169872.jpg
경애의 마음,한국 장편소설,김금희,https://image.yes24.com/goods/60894315/XL
경우 없는 세계,한국 장편소설,백온유,https://image.yes24.com/goods/118106009/XL
경청,한국 장편소설,김혜진,https://image.yes24.com/goods/115096447/XL
계속해보겠습니다,한국 장편소설,황정은,https://image.yes24.com/momo/TopCate417/MidCate003/41625110.jpg
계절은 짧고 기억은 영영,한국 장편소설,이주혜,https://image.yes24.com/goods/123447147/XL
고독사 워크숍,한국 장편소설,박지영,https://image.yes24.com/goods/109903728/XL
고등어,한국 장편소설,공지영,https://image.yes24.com/goods/47240123/XL
고래,한국 장편소설,천명관,https://image.yes24.com/goods/11936050/XL
고르디우스의 매듭을 자르면,한국 장편소설,전혜진,https://image.yes24.com/goods/124489132/XL
고통에 관하여,한국 장편소설,정보라,https://image.yes24.com/goods/122129305/XL
공룡의 이동 경로,한국 단편소설,김화진,https://image.yes24.com/goods/121172596/XL
